"Reference","Value","Qty","Footprint","DNP","Exclude from BOM","Exclude from Board","Datasheet","Mouser Price/Stock"
"C1,C2,C6,C7","0.1u","4","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","~",""
"C3","1u","1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","~",""
"C4","10u","1","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","https://www.we-online.com/components/products/datasheet/860020672010.pdf",""
"C5","22u","1","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","https://www.we-online.com/components/products/datasheet/860020672011.pdf",""
"C8","22u","1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","~",""
"C9","10u","1","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Nicht bestücken","","","https://www.we-online.com/components/products/datasheet/860020672010.pdf",""
"C10","22u","1","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","Nicht bestücken","","","https://www.we-online.com/components/products/datasheet/860020672011.pdf",""
"C11","47n","1","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","","","~",""
"D2","PWR_LED","1","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear","","","","https://www.mouser.de/datasheet/2/216/WP710A10SGC-50126.pdf",""
"D4,D5,D6","LED_wh","3","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear","","","","https://www.mouser.de/datasheet/2/414/OVLAW4CB7-3011932.pdf",""
"D7,D8,D9","LED_gr","3","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear","","","","https://www.mouser.de/datasheet/2/216/WP710A10SGC-50126.pdf",""
"D10,D11,D12,D13,D14,D15","LED_or","6","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear","","","","https://www.mouser.de/datasheet/2/216/WP710A10SGC-50126.pdf",""
"D16","LED_rd","1","LED_THT:LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm_Clear","","","","https://www.mouser.de/datasheet/2/216/WP710A10SGC-50126.pdf",""
"F1","Fuse","1","SamacSys_Parts:3557-2","","","","https://www.mouser.de/datasheet/2/215/M65p41-3517744.pdf",""
"H1,H2","MountingHole","2","MountingHole:MountingHole_5mm_Pad_Via","","Von Bauteilliste ausgeschlossen","","~",""
"J1","DE9_Socket","1","SamacSys_Parts:NFD17E09SAFC1DA","","","","~",""
"R1,R6,R9,R11,R12,R20,R21,R22,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52","0R","18","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","Nicht bestücken","","","~",""
"R2","510","1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","~",""
"R3,R4","1k","2","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","~",""
"R5,R7,R10,R17,R18,R19,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42","10k","16","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","~",""
"R8","100k","1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","~",""
"R13","0R","1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","~",""
"R14,R15,R16","82","3","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","~",""
"R23,R24,R25,R26,R27,R28,R29,R30,R31,R32","130","10","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","","","~",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11","TestPoint","11","TestPoint:TestPoint_Pad_D2.5mm","","","","~",""
"U1","ESP32-WROOM-32E","1","RF_Module:ESP32-WROOM-32E","","","","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf",""
"U2","MAX7318AWG+","1","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","","","","https://www.mouser.de/datasheet/2/609/1/MAX7318-3470766.pdf",""
"IC1,IC2","TS04-66-75-BK-160-SMT","2","SamacSys_Parts:TS046675BK160SMT","","","","https://www.sameskydevices.com/product/resource/supplyframepdf/ts04.pdf","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TS04-66-75-BK-160-SMT?qs=A6eO%252BMLsxmR5CIauYOve0Q%3D%3D"
"S1","1MS1T1B4M7QES","1","SamacSys_Parts:1MS1T1B4M7QES","","","","https://www.dailywell.com.tw/en/search/index.html?q=1MS1T1B4M7QES&type=all","https://www.mouser.co.uk/ProductDetail/Dailywell/1MS1T1B4M7QES?qs=B6kkDfuK7%2FAUibuiVO%252BdHA%3D%3D"
"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14","BC548A","14","SamacSys_Parts:BC548A","","","","https://diotec.com/request/datasheet/bc546.pdf","https://www.mouser.co.uk/ProductDetail/Diotec-Semiconductor/BC548A?qs=OlC7AqGiEDn7ksXHluy35w%3D%3D"
"PS1","N7803-1C","1","SamacSys_Parts:N78031C","","","","https://www.meanwell.com/webapp/product/search.aspx?prod=N78","https://www.mouser.co.uk/ProductDetail/MEAN-WELL/N7803-1C?qs=7D1LtPJG0i1K0F21XTLD8Q%3D%3D"
"PS2","N7805-1PH","1","SamacSys_Parts:N78031C","Nicht bestücken","","","https://www.meanwell.com/webapp/product/search.aspx?prod=N78","https://www.mouser.co.uk/ProductDetail/MEAN-WELL/N7805-1PH?qs=7D1LtPJG0i2yQtENgJv8Bw%3D%3D"
"D3","MMBD352WT1G","1","SamacSys_Parts:SOT65P220X100-3N","Nicht bestücken","","","https://www.onsemi.com/pub/Collateral/MMBD352WT1-D.PDF","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/MMBD352WT1G?qs=HVbQlW5zcXX4Hbj73AzZEQ%3D%3D"
"LS1","CMI-0955-03TH","1","SamacSys_Parts:CMI095503TH","","","","https://www.sameskydevices.com/product/resource/supplyframepdf/cmi-0955-03th.pdf","https://www.mouser.co.uk/ProductDetail/Same-Sky/CMI-0955-03TH?qs=olJun0bQHM8qnyh30s0SwQ%3D%3D"
"D1","STPS8H100D","1","SamacSys_Parts:TO515P460X1020X2008-2P","","","","http://www.st.com/web/en/resource/technical/document/datasheet/CD00001293.pdf","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/STPS8H100D?qs=JV7lzlMm3yLc5UJZDGTzhw%3D%3D"
"J2","2-1825027-0","1","SamacSys_Parts:218250270","","","","https://www.mouser.de/datasheet/2/418/8/ENG_CD_1825027_H1-2020946.pdf","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-PB/2-1825027-0?qs=sLzr0G66nuqhlS4AJQmBZQ%3D%3D"
